Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Tgcom24,1876753,2017-11-08 09:09:35 BRST,Link,59,8,35,0,1,3,0,6,0,,0,0,0,https://www.facebook.com/tgcom24/posts/10156101634879610,"#Napoli, arrestati per #corruzione: arrestati l'imprenditore Alfredo Romeo e il direttore generale dell'ospedale Cardarelli",http://www.tgcom24.mediaset.it/cronaca/campania/napoli-corruzione-arrestati-alfredo-romeo-e-dg-cardarelli_3105321-201702a.shtml,,"Napoli, corruzione: arrestati Alfredo Romeo e dg Cardarelli - Tgcom24","Ciro Verdoliva e l'imprenditore, già indagato nell'inchiesta Consip, sono ai domiciliari. Il manager dell'ospedale è accusato anche di abuso d'ufficio",,,-1.9642857142857142
InterNapoli.it,127768,2017-11-08 08:59:53 BRST,Link,5,0,4,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/InterNapoli.it/posts/1966263600081235,Terremoto sull'ospedale Cardarelli di Napoli,http://www.internapoli.it/79488/appalti-truccati-e-corruzione-al-cardarelli-16-arresti-ci-sono-anche-il-direttore-verdoliva-e-romeo,,"Appalti truccati e corruzione al Cardarelli, 16 arresti: ci sono anche il direttore Verdoliva e Romeo - InterNapoli.it","Un'ordinanza di arresti domiciliari è stata eseguita nei confronti di Ciro Verdoliva, direttore generale dell'ospedale Cardarelli di Napoli. Il manager è accusa...",,,-3.5555555555555554
Click Política,7532,2017-11-08 08:57:50 BRST,Link,11,3,11,0,1,0,0,0,0,,0,0,0,https://www.facebook.com/paginaclickpolitica/posts/531389237195951,"CIRO GOMES SOBRE AUGUSTO NUNES, ‘Um zé ninguém, jornalista alugado’; VÍDEO!",http://clickpolitica.com.br/brasil/ciro-gomes-sobre-augusto-nunes-um-ze-ninguem-jornalista-alugado-video/,,"CIRO GOMES SOBRE AUGUSTO NUNES, ‘Um zé ninguém, jornalista alugado’; VÍDEO!",Visite o post para mais.,,,-1.1153846153846154
Il Fatto Quotidiano,2168439,2017-11-08 08:57:25 BRST,Link,121,28,55,1,10,15,0,6,0,,0,0,0,https://www.facebook.com/ilFattoQuotidiano/posts/2077454938935408,"ULTIM'ORA Corruzione, nuova misura per l'imprenditore Alfredo Romeo",https://www.ilfattoquotidiano.it/2017/11/08/napoli-corruzione-arresti-domiciliari-per-alfredo-romeo-e-dg-dellospedale-cardarelli/3965978/,,"Napoli, corruzione: arresti domiciliari per Alfredo Romeo e dg dell'ospedale Cardarelli [ULTIM'ORA]",Nuovo capitolo nell’inchiesta napoletana sugli appalti dell’ospedale Cardarelli. Il gip ha firmato sedici misure cautelari per corruzione e frode. Tra i destinatari del provvedimento figurano l’imprenditore Alfredo Romeo e il direttore generale dell’ospedale Cardarelli di Napoli Ciro Verdoliva. Per…,,,1.0085470085470085
Calcio d'Angolo,33267,2017-11-08 08:54:05 BRST,Link,1,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/AngoloCalcio/posts/454712058258084,"⚽🏆 Ciro Immobile mette in fila Messi&Co. È lui il re dei bomber al momento, presenti in classifica altri due giocatori di Serie A 👇🏼",https://www.calciodangolo.com/2017/11/scarpa-oro-ciro-immobile-vetta-alla-classifica/,,"Scarpa d’Oro, Ciro Immobile in vetta alla classifica","L'attaccante della Lazio è il miglior marcatore europeo. Inseguono i big, tanta Serie A in classifica",,,-0.9
Diário do Sul,102416,2017-11-08 08:53:01 BRST,Photo,9,4,8,0,0,0,0,4,0,,0,0,0,https://www.facebook.com/diario.sul/posts/860341734090973,"Desde a zero hora de hoje o óleo diesel comercializado nas refinarias da Petrobras estará 2,5% mais caro e a gasolina teve reajuste de 0,6%. Na noite de segunda-feira, a empresa já havia divulgado para terça um reajuste de 2,3% para a gasolina e de 1,9% para o diesel. Em nota, a Petrobras justificou o aumento de ontem como consequência “do aumento das cotações dos produtos e do barril do petróleo no mercado externo, influenciado pela geopolítica internacional, assim como pela continuidade da política de contenção da oferta pela Organização dos Países Produtores de Petróleo (Opep)”. Também contribuiu para a alta dos derivados “a depreciação do valor do real frente ao dólar”. O reajuste no preço da gasolina nas refinarias é o quarto consecutivo concedido pela estatal este mês – e o segundo esta semana. Depois de iniciar novembro em queda (-0,2%), a gasolina chega a um aumento, somente este mês, de 7,2%. Já o diesel, que também havia começado o mês em queda, já acumula 3,3% de aumento...",https://www.facebook.com/diario.sul/photos/a.239869236138229.1073741826.239864962805323/860341524090994/?type=3,,,,,,-1.44
Vento ribelle,113267,2017-11-08 08:45:29 BRST,Photo,7,0,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/VENTORIBELLESEMPRECONVOI/posts/1665274930220409,,https://www.facebook.com/exopgjesopazzo/photos/a.632328093540524.1073741829.632293670210633/1256597801113547/?type=3,,Ex OPG Occupato - Je so' pazzo,"Avere Ilaria Cucchi all'Ex Opg è stata una delle emozioni più forti che abbiamo provato da quando abbiamo preso in mano questo posto.
Le sue parole, la testimonianza del padre di Davide Bifolco, l'intervento della mamma di Ciro Esposito, ci hanno toccato nel profondo.
Siamo certi che alle centinaia di giovani che hanno ascoltato attentamente, a volte con le lacrime agli occhi, altre volte con curiosità, quasi scandalizzandosi per una realtà di abusi e violenze perpetuata sugli ultimi e che viene continuamente taciuta, a loro, ecco, sappiamo che è rimasto qualcosa in più di una semplice impressione...
Si respirava la convinzione che questa società cambierà solamente se ognuno di noi abbandona passività, indifferenza, cecità e si butta completamente tra le braccia di chi ha sofferto ingiustizie e ha pagato con la vita.
Si respirava tutto il contrario di quanto ha abitato i corridoi, le celle, le mura, di quello che fino a pochi anni fa era uno dei posti di reclusione più duri e...",,,-6.75
IL Letto - SZ,616119,2017-11-08 08:34:12 BRST,Native Video,0,0,0,0,0,0,0,0,0,share,298,98211,0,https://www.facebook.com/il.Letto/posts/10154813487115855,Non vedo lora che esca al cinema!,https://www.facebook.com/01distribution/videos/1669251209775016/,,01Distribution,"Dopo l’ennesima porta in faccia, per Ciro Priello è arrivato il momento di cambiare rotta e inviare il suo curriculum nello spazio. Come risponderanno gli alieni?
Guarda il trailer ufficiale di #ADDIOFOTTUTIMUSIVERDI il primo film dei the JackaL con la regia di Francesco Ebbasta. Al cinema dal 9 novembre. #AFMV",,,-6.0
Le Frasi Più Belle Delle Canzoni ♫ ♪,597355,2017-11-08 08:33:13 BRST,Native Video,1,0,0,0,0,1,0,0,0,share,392,96319,0,https://www.facebook.com/LeFrasiDelleCanzoni/posts/10159541320815176,Non vedo lora che esca al cinema!,https://www.facebook.com/01distribution/videos/1669251209775016/,,01Distribution,"Dopo l’ennesima porta in faccia, per Ciro Priello è arrivato il momento di cambiare rotta e inviare il suo curriculum nello spazio. Come risponderanno gli alieni?
Guarda il trailer ufficiale di #ADDIOFOTTUTIMUSIVERDI il primo film dei the JackaL con la regia di Francesco Ebbasta. Al cinema dal 9 novembre. #AFMV",,,-0.3333333333333333
Il Meridiano News,69564,2017-11-08 08:32:55 BRST,Link,19,0,22,0,3,0,0,3,0,,0,0,0,https://www.facebook.com/IlMeridianoNews/posts/1879800048715941,PRESO - Prima della notizia dell’arresto il manager aveva attivato l’unità di crisi per l’ospedale,http://www.ilmeridianonews.it/2017/11/cardarelli-fermato-ciro-verdoliva/,,Arresto eccellente al Cardarelli: fermato il direttore Ciro Verdoliva •,"Arresto eccellente al Cardarelli: fermato il direttore Ciro Verdoliva Prima della notizia dell'arresto, aveva attivato l'unità di crisi per l'ospedale",,,-1.1914893617021276
