Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Cruzada Pela Liberdade,147150,2017-11-01 19:13:58 BRST,Link,40,25,46,0,1,1,8,7,0,,0,0,0,https://www.facebook.com/cruzadapelaliberdade/posts/1255091511263714,"Brasil, o pais que deixou de ser colonia portuguesa e hoje caminha para ser colonia da china 🈴 A China, maior parceira comercial do Brasil, tem planos de instalar no estado de São Paulo um hospital com 250 leitos, UTI com 50 leitos e sete centros cirúrgicos para atender as redes pública e particular de saúde. O local, de acordo com o projeto, também abrigará um centro de lazer, creche – em que serão ministradas aulas de mandarim – e supermercado. O assunto foi tratado na manhã desta segunda-feira (30) num encontro entre o governador de São Paulo, Geraldo Alckmin, e o vice-ministro da Saúde chinês, Wang Guoqiang. O que o presidente da China, Xi Jinping, pretende com uma iniciativa como essa é exportar a tradicional medicina do país asiático mundo afora, algo que vá além da acunpuntura. https://www.noticiasbrasilonline.com.br/brasil-o-pais-que-deixou-de-ser-colonia-portuguesa-e-hoje-caminha-para-ser-colonia-da-china/amp/",https://www.noticiasbrasilonline.com.br/brasil-o-pais-que-deixou-de-ser-colonia-portuguesa-e-hoje-caminha-para-ser-colonia-da-china/amp/,,Brasil o pais que deixou de ser colonia portuguesa e hoje caminha para ser colonia da china - Noticias Brasil Online,"A China, maior parceira comercial do Brasil, tem planos de instalar no estado de São Paulo um hospital com 250 leitos, UTI com 50 leitos e sete centros cirúrgicos para atender as redes pública e particular de saúde. O local, de acordo com o projeto, também abrigará um centro de lazer, creche – em qu...",,,-1.6875
Rede Brasil Atual,122464,2017-11-01 19:02:19 BRST,Native Video,16,1,0,5,0,1,0,0,0,share,350,3669,0,https://www.facebook.com/redebrasilatual/posts/10155766420025883,,https://www.facebook.com/redetvt/videos/1698131903590214/,,Rede TVT,"O Seu Jornal está no ar!
 
Confira os destaques dessa edição:
 
A violência contra a mulher não para de crescer: são mais de 4 mil assassinatos por ano e 135 estupros por dia. Movimentos feministas acusam o estado como maior responsável por tanta humilhação e culpam a educação pelo machismo que tira tantas vidas.
Em reunião com os sem teto, representantes do governo Alckmin se comprometeram a discutir soluções habitacionais para a Ocupação Povo Sem Medo, em São Bernardo do Campo.
O trigésimo-nono Prêmio Vladimir Herzog de Anistia e Direitos Humanos homenageou uma jornalista-símbolo da luta contra a ditadura e pela emancipação da mulher: Rose Nogueira.",,,-3.1739130434782608
Sindicato dos Metalúrgicos do ABC,28038,2017-11-01 19:02:02 BRST,Native Video,12,2,0,2,0,0,0,0,0,share,162,3671,0,https://www.facebook.com/smabc/posts/10159401086745462,O Seu Jornal está no ar!,https://www.facebook.com/redetvt/videos/1698131903590214/,,Rede TVT,"O Seu Jornal está no ar!
 
Confira os destaques dessa edição:
 
A violência contra a mulher não para de crescer: são mais de 4 mil assassinatos por ano e 135 estupros por dia. Movimentos feministas acusam o estado como maior responsável por tanta humilhação e culpam a educação pelo machismo que tira tantas vidas.
Em reunião com os sem teto, representantes do governo Alckmin se comprometeram a discutir soluções habitacionais para a Ocupação Povo Sem Medo, em São Bernardo do Campo.
O trigésimo-nono Prêmio Vladimir Herzog de Anistia e Direitos Humanos homenageou uma jornalista-símbolo da luta contra a ditadura e pela emancipação da mulher: Rose Nogueira.",,,-2.5625
Rede TVT,195486,2017-11-01 19:00:32 BRST,Live Video Complete,173,167,243,25,0,0,7,0,0,original,1611,3669,0,https://www.facebook.com/redetvt/posts/1698131903590214,"O Seu Jornal está no ar! Confira os destaques dessa edição: A violência contra a mulher não para de crescer: são mais de 4 mil assassinatos por ano e 135 estupros por dia. Movimentos feministas acusam o estado como maior responsável por tanta humilhação e culpam a educação pelo machismo que tira tantas vidas. Em reunião com os sem teto, representantes do governo Alckmin se comprometeram a discutir soluções habitacionais para a Ocupação Povo Sem Medo, em São Bernardo do Campo. O trigésimo-nono Prêmio Vladimir Herzog de Anistia e Direitos Humanos homenageou uma jornalista-símbolo da luta contra a ditadura e pela emancipação da mulher: Rose Nogueira.",https://www.facebook.com/redetvt/videos/1698131903590214/,,[AO VIVO] Seu Jornal,,,,-1.0341463414634147
Radio Louvor Gospel,301211,2017-11-01 18:53:12 BRST,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/radiolouvorgospeloficial/posts/1538006316280906,Compartilhe : Homem que bater em mulher vai mais rápido para a cadeia,http://webmulher.com/2017/01/24/compartilhe-homem-que-bater-em-mulher-vai-mais-rapido-para-a-cadeia/?0=1,,Compartilhe : Homem que bater em mulher vai mais rápido para a cadeia,"Alckmin quer audiência imediata para agilizar processo de violência doméstica O Governo do Estado de São Paulo anunciou, nesta quinta-feira, 12, duas ações para agilizar o atendimento à mulher víti…",,,-34.0
Focus Concursos Públicos,995774,2017-11-01 18:49:51 BRST,Link,12925,690,890,329,97,10,1,6,0,,0,0,0,https://www.facebook.com/focusconcursos/posts/1427138840719643,"AGORA VAI!!! O governador de São Paulo, Geraldo Alckmin, anunciou nesta quarta-feira, 1º de novembro, que o Concurso Público da Polícia Civil ofertará 2.750 vagas. Edital previsto para dezembro.",http://blog.focusconcursos.com.br/concurso-policia-civil-sp-e-autorizado-nesta-quarta-feira/,,"Concurso Polícia Civil-SP foi confirmado nesta quarta, 1º","O governador de São Paulo, Geraldo Alckmin, anunciou nesta quarta-feira, 1º de novembro, que o Concurso Público da Polícia Civil ofertará 2.750 vagas.",,,47.91025641025641
Carlos Giannazi,74299,2017-11-01 18:30:00 BRST,Link,35,0,5,0,0,0,0,1,0,,0,0,0,https://www.facebook.com/carlosgiannazioficial/posts/808643155975328,"FAMEMA UNIDA CONTRA O SUCATEAMENTO | A #imprensadeMarília repercute a iniciativa de Giannazi em defesa da Faculdade de Medicina da cidade, que atende uma grande demanda do SUS de toda a região, mas que sofre com o abandono e falta de recusrsos do governo Alckmin! Leia mais:",http://www.giromarilia.com.br/noticia/giro-marilia/assembleia-chama-vice-governador-e-diretor-para-falar-sobre-crise-na-famema/10815,,Assembleia chama vice-governador e diretor para falar sobre crise na Famema - Notícias sobre giro marília - Giro Marília Notícias,Comissão De Educação Quer Discutir Crise E Reestruturação Na Famema...,,,-14.048780487804878
Secretaria de Turismo do Estado de São Paulo,13196,2017-11-01 18:29:21 BRST,Link,108,13,41,2,1,2,0,1,0,,0,0,0,https://www.facebook.com/turismosp/posts/1642768825771982,"Com a proposta de estruturar ainda mais o turismo no Estado de São Paulo, o governador Geraldo Alckmin autorizou na tarde desta quarta-feira (1º/11) no mezanino do Palácio dos Bandeirantes, o repasse no valor de R$ 38,9 milhões para 10 Estâncias Turísticas, e R$ 3,3 milhões para nove dos 20 Municípios de Interesse Turístico (MITs) classificados em maio deste ano.",http://www.turismo.sp.gov.br/publico/noticia.php?codigo=1274,,R$ 42 milhões para o turismo paulista - Secretaria de Turismo do Estado de São Paulo,,,,2.3333333333333335
André do Prado,37053,2017-11-01 18:12:22 BRST,Photo,16,1,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/dep.andredoprado/posts/1669860726393098,"SANÇÃO DA LEI QUE CLASSIFICA SANTA BRANCA COMO MIT Depois de muitas etapas superadas, acompanhei hoje, em evento no Palácio dos Bandeirantes, a sanção, por parte do governador Geraldo Alckmin, do projeto de lei de minha autoria que classifica Santa Branca, no Vale do Paraíba, como Município de Interesse Turístico (MIT). O prefeito Celso Simão, o presidente da Câmara Municipal, Eder Senna e os vereadores Junior Mineiro, Helcinho Castello, Juan Jimenez, Ricardo Cabral, Rosemara Salete dos Santos e Valdemar de Siqueira estiveram na cerimônia. A votação ocorreu na última quinta-feira, dia 26. Com este status, a cidade passa a ter direito a um recurso de R$ 650 mil por ano para ser aplicado na melhoria da infraestrutura para atrair turistas. Como sempre destaco, o turismo é a melhor saída para sair da crise. As cidades que investem nela têm uma aliada para superar as adversidades. Outras 30 cidades foram classificadas como MIT, entre elas Mogi das Cruzes, no Alto Tietê. Vamos trabalhar...",https://www.facebook.com/dep.andredoprado/photos/a.242722885773563.60865.228158820563303/1669860269726477/?type=3,,Photos from André do Prado's post,,,,-1.7058823529411764
Prefeitura De Ribeirão Preto,61337,2017-11-01 18:05:14 BRST,Photo,33,13,6,3,1,0,0,0,0,,0,0,0,https://www.facebook.com/PrefeituraRP/posts/1519839541444442,"Educação e saúde! Essas são duas áreas que ganharam investimento hoje, dia 1 de novembro, no Palácio dos Bandeirantes. Duas escolas estaduais, a Alberto Santos Dumont e a Cônego Barros, receberão uma verba de R$ 300 mil reais para reforma. Já o Hospital das Clínicas poderá contratar 152 profissionais, entre eles enfermeiros e auxiliares de enfermagem, possibilitando ampliação no atendimento ao Hospital da Criança. O evento contou com a presença do prefeito Duarte Nogueira, do governador do Estado de São Paulo, Geraldo Alckmin, do superintendente do HC, Carlos Alberto Maciel, do secretário da educação, José Renato Nalini e do presidente da FDE, João Cury Neto.",https://www.facebook.com/PrefeituraRP/photos/a.468741643220909.1073741844.125627324199011/1519839514777778/?type=3,,,,,,1.0566037735849056
Turismo Paulista,96751,2017-11-01 17:57:12 BRST,Photo,37,5,11,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/turismopaulista/posts/1522644707830303,"Alckmin libera R$ 39 milhões para o turismo paulista - Nesta quarta-feira (01/11), aconteceu o repasse no valor de R$ 38,9 milhões para 10 estâncias turísticas (Aparecida, Brotas, Caraguatatuba, Ilha Solteira, Praia Grande, Presidente Epitácio, Santa Fé do Sul, Santos, São Bento Sapucaí e São Pedro). Estão previstas mais duas assinaturas de convênios DADE, a para o próximo dia 17/11 e outra para o final deste mês, ainda sem data definida.",https://www.facebook.com/turismopaulista/photos/a.1522642601163847.1073742216.150529248375196/1522641181163989/?type=3,,Photos from Turismo Paulista's post,,,,-1.320754716981132
Turismo Paulista,96750,2017-11-01 17:55:09 BRST,Photo,4,0,2,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/turismopaulista/posts/1523505337744240,"Nesta quarta-feiro (01/11), aconteceu o repasse no valor de R$ 38,9 milhões para 10 estâncias turísticas (Aparecida, Brotas, Caraguatatuba, Ilha Solteira, Praia Grande, Presidente Epitácio, Santa Fé do Sul, Santos, São Bento Sapucaí e São Pedro). Estão previstas mais duas assinaturas de convênios DADE, a para o próximo dia 17/11 e outra para o final deste mês, ainda sem data definida.",https://www.facebook.com/turismopaulista/photos/a.1522642601163847.1073742216.150529248375196/1522641181163989/?type=3,,Alckmin libera R$ 42 milhões para o turismo paulista,,,,-10.0
Folha Dirigida,647247,2017-11-01 17:42:02 BRST,Live Video Complete,113,18,16,10,5,0,0,0,0,original,3581,3684,0,https://www.facebook.com/FolhaDirigida/posts/10155162507082677,"Geraldo Alckmin anuncia agora a realização de concurso público para o preenchimento de 2.750 vagas na Polícia Civil de São Paulo, além da nomeação de 1.240 remanescentes do concurso de 2013. Confira a matéria! http://bit.ly/ConcursoPC-SP:=:https://www.folhadirigida.com.br/noticias/concurso/policia-civil-sp/policia-civil-sp-governador-alckimin-anuncia-concurso-para-2-750-vagas?utm_source=facebook&utm_medium=social&utm_campaign=noticia&utm_content=pc_sp",https://www.facebook.com/FolhaDirigida/videos/10155162507082677/,,Concurso Polícia Civil de São Paulo #2,,,,-1.0185185185185186
