Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Sampdorianews.net,18002,2017-11-06 17:33:13 BRST,Link,15,0,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/Sampdorianews.net/posts/1601275506559406,,https://www.sampdorianews.net/news-doria/pagliuca-in-visita-alla-residenza-academy-99740,,Pagliuca in visita alla Residenza Academy,"Nel pomeriggio odierno lieta visita a Bogliasco di Gianluca Pagliuca. L'ex numero uno blucerchiato ha visitato la Residenza Academy, posando davanti alla sua gigantografia sita all&#3...",,,-3.1875
Cebu Daily News,242535,2017-11-06 17:25:37 BRST,Link,60,1,17,4,1,0,0,0,0,,0,0,0,https://www.facebook.com/cebudailynews/posts/10156042018274589,Doria shares his blessings,http://ebx.sh/2j5gWbq,http://cebudailynews.inquirer.net/153425/doria-shares-blessings?utm_term=Autofeed&utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#link_time=1509987662,Doria shares his blessings,IN THE SPIRIT OF CHRISTMAS WINNING the prestigious Metrobank Foundation Outstanding Filipinos 2017 award was not an easy feat for Cebu City Police Office (CCPO) ...,,,-1.0240963855421688
Jornal Hoje em Dia | Portal HD,461083,2017-11-06 17:17:00 BRST,Link,2,8,1,0,0,5,0,6,0,,0,0,0,https://www.facebook.com/jornalhojeemdia/posts/1531394146906613,"Dória declarou que ""tudo é possível"" e voltou a defender que só uma aliança partidária de centro encabeçada pelo PSDB seria capaz de derrotar Lula (PT) e Bolsonaro (PSC-RJ) no ano que vem",http://hojeemdia.com.br/primeiro-plano/pol%C3%ADtica/doria-admite-ser-vice-de-alckmin-e-volta-a-defender-alian%C3%A7a-de-centro-1.571774,,Doria admite ser vice de Alckmin e volta a defender aliança de centro,"O prefeito de São Paulo, João Doria (PSDB), admitiu a possibilidade de ser candidato a vice-presidente da República em uma chapa encabeçada pelo...",,,-1.8636363636363635
Brasil 247,890698,2017-11-06 17:15:01 BRST,Link,128,91,55,0,1,102,0,9,0,,0,0,0,https://www.facebook.com/Brasil247/posts/1799323313454001,Não sobrou nada pra ele,https://www.brasil247.com/pt/247/sp247/325944/Sem-espa%C3%A7o-Doria-topa-qualquer-coisa-at%C3%A9-ser-vice-de-Alckmin.htm,,"Sem espaço, Doria topa qualquer coisa, até ser vice de Alckmin","Em queda livre nos planos de disputar a Presidência da República em 2018, o prefeito de São Paulo, João Doria (PSDB), admitiu a possibilidade de chegar ao Planalto como vice em uma chapa encabelada pelo governador de São Paulo, Geraldo Alckmin (PSDB);""Hoje tudo é possível. No diálogo, tudo é possíve...",,,-1.9792746113989637
Anton Schwartz,8477,2017-11-06 17:11:23 BRST,Photo,20,2,0,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/anton.sax/posts/10159487064645456,"So much fun playing for the Earshot Jazz Festival last night with Dan Balmer, Joe Doria and D'Vonne Lewis! What a pocket!! Thanks to Jim Levitt for the great photo.",https://www.facebook.com/anton.sax/photos/a.55067350455.131261.54814385455/10159487064645456/?type=3,,Anton Schwartz music photos,,,,-2.0
Mike Doria,4807,2017-11-06 17:09:22 BRST,Photo,87,21,0,24,0,0,0,0,0,,0,0,0,https://www.facebook.com/MikeDoriaLV/posts/1487057131370157,Sometimes in life you don’t know whether you made the right decision. And I sometimes wonder whether going back to TV was a good idea. And then Facebook reminds you that it probably was.,https://www.facebook.com/MikeDoriaLV/photos/a.545008722241674.1073741828.432633316812549/1134206073321933/?type=3,,Mike Doria,"Beyond grateful and honored to even win a category at all, but to take second place in another?!?! A big thanks to everyone who voted for me in the Best of Las Vegas awards. And - a shout out to the FOX5 Las Vegas morning team. You all rock!",,,2.1639344262295084
TVE Bahia,156011,2017-11-06 17:00:00 BRST,Native Video,20,2,3,1,1,0,0,1,0,original,394,401,0,https://www.facebook.com/tvebahia/posts/1634923536565357,"""Ser Presidente sem nunca ter dado um dia de serviço na vida pública?"", pergunta Ciro Gomes ao ser questionado sobre uma possível candidatura de Luciano Huck em 2018. Sobre o prefeito de São Paulo, João Dória, o vice-presidente do PDT diz: ""até dezembro será carta fora do baralho"". O TVE Entrevista Especial com Ciro Gomes e Bob Fernandes vai ao ar amanhã (07), às 21h, na TV e internet. #CiroNaTVE",https://www.facebook.com/tvebahia/videos/1634923536565357/,,TVE Entrevista Especial com Ciro Gomes,,,,-2.0357142857142856
Conversa Afiada Oficial,748348,2017-11-06 16:55:43 BRST,Link,328,32,89,0,2,55,2,32,0,,0,0,0,https://www.facebook.com/Conversa.Afiada.Oficial/posts/2046404238719760,Dória foge de SP Saiba mais: https://www.conversaafiada.com.br/politica/doria-foge-de-sp,https://www.conversaafiada.com.br/politica/doria-foge-de-sp,,Dória foge de SP,Falta combinar com o Careca,,,-1.6185185185185185
Catanzaro Informa,56029,2017-11-06 16:50:13 BRST,Link,14,2,7,1,0,0,1,0,0,,0,0,0,https://www.facebook.com/catanzaroinforma.it/posts/1594702567262558,,http://www.catanzaroinforma.it/tvinforma105858/Mor-sulla-Ss-106-il-ricordo-di-Cesare-Doria.html#.WgCu2n4Tmq0.facebook,,"Morì sulla Ss 106, il ricordo di Cesare Doria",Video,,,1.0416666666666667
Eu Apoio a Lava Jato,193405,2017-11-06 16:49:51 BRST,Link,43,54,14,1,1,13,0,3,0,,0,0,0,https://www.facebook.com/EUAPOIOALAVAJATO/posts/938229259659847,"Depois de FHC, Serra diz que Doria é uma fraude",https://www.noticiasbrasilonline.com.br/depois-de-fhc-serra-diz-que-doria-e-uma-fraude/,,"Depois de FHC, Serra diz que Doria é uma fraude","Primeiro foi o ex-presidente Fernando Henrique Cardoso quem afirmou que o atual prefeito de São Paulo, João Doria, só sabe mexer no celular e não produziu nenhuma mudança relevante em São Paulo; agora, o ex-governador José Serra foi além e disse que Doria é “um blefe”; mais do que isso, Serra garant...",,,1.2285714285714286
Eu Apoio a Lava Jato,193405,2017-11-06 16:49:51 BRST,Link,35,41,11,1,1,13,0,2,0,,0,0,0,https://www.facebook.com/EUAPOIOALAVAJATO/posts/938229259659847,"Depois de FHC, Serra diz que Doria é uma fraude",https://www.noticiasbrasilonline.com.br/depois-de-fhc-serra-diz-que-doria-e-uma-fraude/,,"Depois de FHC, Serra diz que Doria é uma fraude","Primeiro foi o ex-presidente Fernando Henrique Cardoso quem afirmou que o atual prefeito de São Paulo, João Doria, só sabe mexer no celular e não produziu nenhuma mudança relevante em São Paulo; agora, o ex-governador José Serra foi além e disse que Doria é “um blefe”; mais do que isso, Serra garant...",,,1.4857142857142858
Operação Lava Jato - Apoio Ao Juiz Sergio Moro,488184,2017-11-06 16:49:50 BRST,Link,52,99,19,0,4,14,0,5,0,,0,0,0,https://www.facebook.com/lavajatosergiomoro/posts/1565654810189217,"Depois de FHC, Serra diz que Doria é uma fraude",https://www.noticiasbrasilonline.com.br/depois-de-fhc-serra-diz-que-doria-e-uma-fraude/,,"Depois de FHC, Serra diz que Doria é uma fraude","Primeiro foi o ex-presidente Fernando Henrique Cardoso quem afirmou que o atual prefeito de São Paulo, João Doria, só sabe mexer no celular e não produziu nenhuma mudança relevante em São Paulo; agora, o ex-governador José Serra foi além e disse que Doria é “um blefe”; mais do que isso, Serra garant...",,,-1.1761658031088082
Brasil na Lava Jato,389779,2017-11-06 16:49:50 BRST,Link,36,41,51,0,0,17,0,6,0,,0,0,0,https://www.facebook.com/Brasilnalavajato/posts/2042776105959628,"Depois de FHC, Serra diz que Doria é uma fraude",https://www.noticiasbrasilonline.com.br/depois-de-fhc-serra-diz-que-doria-e-uma-fraude/,,"Depois de FHC, Serra diz que Doria é uma fraude","Primeiro foi o ex-presidente Fernando Henrique Cardoso quem afirmou que o atual prefeito de São Paulo, João Doria, só sabe mexer no celular e não produziu nenhuma mudança relevante em São Paulo; agora, o ex-governador José Serra foi além e disse que Doria é “um blefe”; mais do que isso, Serra garant...",,,-1.0596026490066226
Catanzaro Informa,56029,2017-11-06 16:45:19 BRST,Link,18,3,2,1,0,0,3,0,0,,0,0,0,https://www.facebook.com/catanzaroinforma.it/posts/1594695273929954,,http://www.catanzaroinforma.it/notizia105857/Mor-in-una-galleria-della-Ss-106-Il-commosso-ricordo-di-Cesare-Doria-CON-VIDEO.html#.WgCttrajtuw.facebook,,Morì in una galleria della Ss 106. Il commosso ricordo di Cesare Doria (CON VIDEO),Morì in una galleria della Ss 106. Il commosso ricordo di Cesare Doria (CON VIDEO) - CatanzaroInforma,,,1.0
FOX5 Las Vegas,396588,2017-11-06 16:40:00 BRST,Link,30,0,6,6,2,0,1,0,0,,0,0,0,https://www.facebook.com/FOX5Vegas/posts/10155879982971672,"""The #LasVegasSign getting visitors who are now grieving our loss and that of Texas. #VegasStrong for Sutherland Springs"" - Mike Doria",https://www.instagram.com/p/BbKc_drB_Gp/?taken-by=fox5vegas,,"Instagram post by FOX5 Las Vegas • Nov 6, 2017 at 6:09pm UTC","3 Likes, 1 Comments - FOX5 Las Vegas (@fox5vegas) on Instagram: “""The #LasVegasSign getting visitors who are now grieving our loss and that of Texas. #VegasStrong…”",,,-5.888888888888889
Marcos Pereira,410162,2017-11-06 16:25:31 BRST,Photo,264,26,75,3,1,0,0,0,0,,0,0,0,https://www.facebook.com/marcospereira1010/posts/1628965553836167,"Com satisfação assinei hoje o protocolo que traz de volta ao Brasil depois de seis anos o Fórum Econômico Mundial. Com a parceria do governador Geraldo Alckmin e do prefeito João Doria, e o apoio do presidente Michel Temer, recolocamos o País no centro da discussão econômica na América Latina. O evento será em março. Precisamos atrair investimentos para gerar empregos. Esse é o caminho.",https://www.facebook.com/marcospereira1010/photos/a.614836411915758.1073741838.390881930977875/1628965537169502/?type=3,,,,,,2.6934306569343067
MBL - Movimento Brasil Livre,2508335,2017-11-06 16:14:45 BRST,Photo,367,25,22,7,0,7,0,3,0,,0,0,0,https://www.facebook.com/mblivre/posts/729024437221702,"ATENÇÃO! Faltam apenas 5 dias para o 3º Congresso Nacional do MBL, não perca essa oportunidade, compre seu ingresso antes que acabe: www.mbl.org.br/congresso:=:https://www.sympla.com.br/3-congresso-nacional-do-mbl---movimento-brasil-livre__195929 Vamos discutir: SÁBADO 11/11 09:30h – Credenciamento 10:00h – Coffee 10:30h - 11:45h – Abertura: A confirmar 11:45h - 13:00h – 2° Painel: Fé e Filosofia Política: O Brasil é realmente um pais cristão? - Luiz Felipe Pondé, Francisco Razzo e Martim Vasques da Cunha. Moderador: Rodrigo Simonsen 13:00h - 14:45h – Almoço 14:45h - 16:00h – 3° Painel: Painel Os impactos da reforma trabalhista: Flávio Rocha, Paulo Eduardo Martins, Deputado Rogério Marinho. Moderador: Renato Battista 16:00h - 17:15h – 4° Painel: O Papel da Direita no Brasil pós-impeachment: Joyce Hasselmann, Deputado Marco Feliciano, Alexandre Borges e Luiz Philippe de Orleans e Bragança. Moderador: Eric Balbinus 17:15h - 17:45h – Intervalo 17:45h - 19:00h – 5° Painel: Segurança...",https://www.facebook.com/mblivre/photos/a.204296283027856.1073741829.204223673035117/729024237221722/?type=3,,,,,,-7.0974477958236655
