Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
Repórter MT,124797,2017-11-08 16:08:52 BRST,Link,2,0,1,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/sitereportermt/posts/1591224414267758,PRÉ-CANDIDATO Á PRESIDÊNCIA,http://www.reportermt.com.br/nacional/bolsonaro-critica-lei-contra-racismo-e-defende-triagem-para-imigrantes/74349,,RepórterMT | Bolsonaro critica lei contra racismo e defende triagem para imigrantes,"O pré-candidato à presidência da República Jair Bolsonaro (PSC-RJ) falou para uma multidão de fiéis da Igreja Ministério da Fé, na tarde desta quarta-feira (8/11). O apóstolo Fadi Faraj, que comanda a comunidade evangélica, o entrevistou em uma live no Facebook. Por uma hora, Bolsonaro defendeu os d...",,,-10.0
Odécio Carneiro,83386,2017-11-08 15:57:24 BRST,Link,16,1,2,1,0,0,0,0,0,,0,0,0,https://www.facebook.com/OdecioRCarneiro/posts/1539086662854728,"Políticos do estado temem, apreensivos, que o Presidenciável também apoie algum candidato ao Governo do Estado.",http://www.sulconnection.com.br/noticias/5083/bolsonaro-ter-popular-apresentador-de-tv-em-seu-palanque-em-santa-catarina,,Bolsonaro terá popular apresentador de TV em seu palanque em Santa Catarina,Luís Carlos Prates tornou-se famoso no estado com contundente posicionamentos conservadores e muita polêmica.,,,-1.6
Metrópoles,2105442,2017-11-08 15:49:52 BRST,Link,77,63,15,14,1,6,1,33,0,,0,0,0,https://www.facebook.com/metropolesdf/posts/1861468537476454,"O pré-candidato à Presidência da República concedeu entrevista a Fadi Faraj, investigado pelo Ministério Público do DF e Territórios #MetrópolesPolítica",https://www.metropoles.com/brasil/politica-br/bolsonaro-critica-lei-contra-racismo-e-defende-triagem-para-imigrantes,,Bolsonaro critica lei contra racismo e defende triagem para imigrantes,,,,1.5441176470588236
Gilberto Dimenstein,128319,2017-11-08 15:43:51 BRST,Link,5,12,0,0,0,2,0,0,0,,0,0,0,https://www.facebook.com/GilbertoDimenstein/posts/1463661067014282,,,,Catraca Livre,"Em quem você JAMAIS votaria em 2018 num possível segundo turno?

*Criamos uma enquete ontem e depois de mais de 25 mil votos, os dois mais rejeitados foram: Lula (29%) e Bolsonaro (59%).",,,-2.789473684210526
General Mourão - Eu Apoio,158339,2017-11-08 15:43:16 BRST,Link,84,20,36,0,5,2,2,16,0,,0,0,0,https://www.facebook.com/generalmouraopresidentedobrasil/posts/723657507844247,"DRÁCULA ARTICULA IMPUNIDADE - NAS RUAS VAMOS PUNIR PARA SEMPRE OS CANALHAS DO CONGRESSO !! CONVOCAÇÃO NACIONAL 🚨 - DIA 15/11 - PRAS RUAS BRASIL - UM MILHÃO NA PAULISTA - MILHÕES EM TODO O BRASIL !! VAMOS FECHAR O CONGRESSO - DEPOSIÇÃO DE TODA CLASSE POLÍTICA - EM APOIO A >> #MOURÃO - 🇧🇷 #INTERVENÇÃO #MILITAR 🇧🇷 !! ___________________ ONDE ESTÃO OS IMPEACHIMISTAS? Os movimentos de rua são financiados pelos Partidos - Manipularam o povo para pedir IMPEACHIZZA - Chegou a hora de tirar todos >> VAMOS PRAS RUAS !! ▬▬▬▬▬▬ ONDE ESTÃO OS BOLSOMITOS? O momento é de UNIÃO de toda a Direita - Bolsonaro não ganha com urna eletrônica - Se querem ver seu Mito na Presidência - Saiam do Aeroporto >> VÃO PRAS RUAS LEGITIMAR A INTERVENÇÃO !! ___________________ TODOS OS GRUPOS - UMA ÚNICA DATA - UM ÚNICO GRITO - ÚNICO APOIO - DIA 15 de NOVEMBRO >> 🇧🇷 #INTERVENÇÃOMILITAR 🇧🇷 !! O CONGRESSO É LIXO - O STJ, O TRF, O TSE e O STF SÃO FACÇÕES CRIMINOSAS - NOSSA MISSÃO >> #INTERVENÇÃOMILITARJÁ !!...",https://noticias.uol.com.br/politica/ultimas-noticias/2017/11/08/temer-novo-chefe-policia-federal.htm,,Temer escolhe novo diretor-geral da Polícia Federal,"O presidente Michel Temer (PMDB) oficializará nesta quarta-feira (8) a troca do diretor-geral da Polícia Federal, Leandro Daiello, pelo delegado Fernando S...",,,-1.1575757575757575
Instituto Liberal,100781,2017-11-08 15:41:47 BRST,Link,10,5,2,0,0,0,0,2,0,,0,0,0,https://www.facebook.com/institutoliberal/posts/1018866474922416,"O Ministério Público Eleitoral acusa Jair Bolsonaro e Luís Inácio Lula da Silva de realizarem campanha eleitoral antecipada. Ambos devem ser julgados ainda este ano por divulgação na internet de vídeos que fazem referências a suas candidaturas, supostamente contrariando a legislação, que permite propaganda apenas a partir de 15 de agosto de 2018. Apesar de até o momento apenas os dois serem alvo do MPE, outros nomes que estão de olho no Palácio do Planalto em 2019 também podem ser os próximos. Isso porque campanha antecipada é prática comum entre os políticos e se tornou ainda mais vantajosa após a reforma eleitoral que diminuiu o tempo de campanha permitida. (Continua no site)",https://www.institutoliberal.org.br/blog/politica/politicos-fazem-campanha-antecipada-por-causa-de-legislacao-eleitoral-ineficaz/,,Políticos fazem campanha antecipada por causa de legislação eleitoral ineficaz - Instituto Liberal,"O Ministério Público Eleitoral acusa Jair Bolsonaro e Luís Inácio Lula da Silva de realizarem campanha eleitoral antecipada. Ambos devem ser julgados ainda este ano por divulgação na internet de vídeos que fazem referências a suas candidaturas, supostamente contrariando a legislação, que permite pro...",,,-2.736842105263158
Catraca Livre,8746257,2017-11-08 15:37:55 BRST,Status,6,21,12,1,0,3,2,1,0,,0,0,0,https://www.facebook.com/CatracaLivre/posts/1913950838641918,"Em quem você JAMAIS votaria em 2018 num possível segundo turno? *Criamos uma enquete ontem e depois de mais de 25 mil votos, os dois mais rejeitados foram: Lula (29%) e Bolsonaro (59%).",,,,,,,-11.58695652173913
Oposição Zuera,382797,2017-11-08 15:37:16 BRST,Photo,248,22,56,16,1,3,0,0,0,,0,0,0,https://www.facebook.com/oposicaozuer4/posts/1063510200452738,Não sabem por que você vota no Bolsonaro? Mostre essa imagem!,https://www.facebook.com/oposicaozuer4/photos/a.732153210255107.1073741828.731660160304412/1063510040452754/?type=3,,,,,,1.8210526315789475
Exame,4250696,2017-11-08 15:29:00 BRST,Link,558,348,44,77,7,267,0,16,0,,0,0,0,https://www.facebook.com/Exame/posts/10155833417008953,"O ""mito"" baixou a bola. Pelo menos um pouco. #EXAME",https://exame.abril.com.br/brasil/bolsonaro-divulga-carta-aos-brasileiros-e-nega-totalitarismo/,,Bolsonaro divulga carta e muda tom do discurso,,,,7.88622754491018
Coronel Carlos Alberto Brilhante Ustra,256837,2017-11-08 15:27:06 BRST,Photo,16,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/CoronelUstra/posts/1492521537505590,,https://www.facebook.com/uniaodireitabrasil/photos/a.105390890207222.1073741828.104523186960659/107148710031440/?type=3,,UDB - União Direita Brasil,"Em 2005, o deputado Bolsonaro, propôs este PL, que prevê a doação e utilização de armas e munições apreendidas pelas forças armadas e polícias. O que seria destruído passaria a ser utilizado pelos militares, equiparando assim o poderia bélico das nossas forças de segurança ao do crime organizado. O objetivo principal além do benefício das nossas instituições militares, foi também o de contornar a as dificuldades finaceiras pelas quais o país já passavam. Assim como outros, este projeto de lei não passou em votação na Câmara.
Seria esse um projeto ruim? O porquê de sua não aprovação? Será que o sobrenome Bolsonaro causa ojeriza entre os demais deputados?",,,-6.8125
