Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
CR7,270311,2017-11-05 11:51:44 BRST,Link,0,0,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/newspapo/posts/1628102097252236,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,-16.0
Presidente Jair Bolsonaro,148435,2017-11-05 11:51:44 BRST,Link,6,5,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/PresidenteJB/posts/1939828709672358,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,-2.727272727272727
Humor News,959519,2017-11-05 11:51:44 BRST,Link,21,31,2,0,1,20,0,5,0,,0,0,0,https://www.facebook.com/HumorNewsOficial/posts/1993783554169543,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.3114754098360655
Clube Dos Caminhões,234908,2017-11-05 11:51:44 BRST,Link,25,14,2,0,0,8,0,2,0,,0,0,0,https://www.facebook.com/caminhoesQualificados01/posts/1608761962478373,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.5
JUIZ Sergio MORO,40668,2017-11-05 11:51:44 BRST,Link,2,5,1,0,0,9,0,2,0,,0,0,0,https://www.facebook.com/JUIZSergioMOROCuritiba/posts/1646879855363941,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.0
Incrivelmente,1141607,2017-11-05 11:51:44 BRST,Link,19,50,14,0,5,20,0,21,0,,0,0,0,https://www.facebook.com/OficialIncrivelmente/posts/725682920968112,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.1120689655172413
Presidente Jair Bolsonaro,N/A,2017-11-05 11:51:36 BRST,Link,23,45,12,0,0,19,1,11,0,,0,0,0,https://www.facebook.com/PresidenteJBolsonaro/posts/2008368729441232,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,0.0
Intervenção Militar Brasil,154903,2017-11-05 11:51:36 BRST,Link,41,92,25,0,0,24,1,26,0,,0,0,0,https://www.facebook.com/intervencaomilitarFFAA/posts/1962992240605725,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.274390243902439
Apoiamos o juiz Sérgio Moro,158286,2017-11-05 11:51:36 BRST,Link,4,9,1,0,0,7,0,1,0,,0,0,0,https://www.facebook.com/SergioMorodoBrasil/posts/2022485481317836,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.0
Papo TV,149633,2017-11-05 11:51:36 BRST,Link,43,75,78,0,6,27,1,19,0,,0,0,0,https://www.facebook.com/PapoTVBrasil/posts/691778907692588,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.2575757575757576
"Juiz Sérgio Moro, um herói Nacional",1047065,2017-11-05 11:51:36 BRST,Link,145,265,30,0,8,131,12,125,0,,0,0,0,https://www.facebook.com/SergioMoroHeroiNacional/posts/1461416923979582,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.2924187725631768
O Patriotizador,329799,2017-11-05 11:51:36 BRST,Link,67,141,34,0,3,54,0,37,0,,0,0,0,https://www.facebook.com/OPatriotizador/posts/1925567417681572,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.5483870967741935
Operação Lava Jato para sempre,530928,2017-11-05 11:51:36 BRST,Link,102,250,35,2,3,61,2,88,0,,0,0,0,https://www.facebook.com/LavaJatoJuizMoro/posts/1365336216908380,A chapa do establishment.... http://ow.ly/S9We30gmwKz:=:https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,http://ow.ly/S9We30gmwKz,https://www.papotv.com.br/posts/luciano-huck-pode-pintar-ao-lado-de-marina-silva-na-disputa-em-2018,Luciano Huck pode pintar ao lado de Marina Silva na disputa em 2018,"se o apresentador da Rede Globo, Luciano Huck, pudesse escolher...",,,1.1652360515021458
