Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
"LAVA JATO não pode acabar - Curta, precisamos do seu apoio.",298449,2017-11-07 19:32:42 BRST,Photo,211,52,220,1,4,5,12,65,0,,0,0,0,https://www.facebook.com/LAVAJATOAPOIEM/posts/1989506027955148,"Decreto de Cabral favoreceu Luciano Huck que era cliente de sua mulher. http://www.estadao.com.br/noticias/geral,decreto-de-cabral-favoreceu-cliente-de-sua-mulher-em-angra,502671 curta LAVA JATO não pode acabar - Curta, precisamos do seu apoio.",https://www.facebook.com/LAVAJATOAPOIEM/photos/a.1531096367129452.1073741827.1531094023796353/1989503764622041/?type=3,,,,,,-1.1964912280701754
Paulo Pimenta,270334,2017-11-07 19:30:00 BRST,Native Video,359,25,354,0,7,40,0,2,0,original,7525,10383,0,https://www.facebook.com/deputadofederal/posts/1711872082239074,"HUCK E BARBOSA: OS CANDIDATOS ""NOTÁVEIS"" O que Luciano Huck, candidato de si próprio à Presidência da República, conversou com o ex-Ministro Joaquim Barbosa? Huck está uma fera, porque não se conforma em ser o 4o. salário da Globo. Então, ele resolveu valorizar a publicidade dele... com uma suposta candidatura! Via Conversa Afiada Oficial #ForaTemer #AnulaSTF #ePP",https://www.facebook.com/deputadofederal/videos/1711872082239074/,,,,,,-2.1067344345616266
Diário do Centro do Mundo,303293,2017-11-07 19:19:58 BRST,Link,151,32,62,5,2,89,0,0,0,,0,0,0,https://www.facebook.com/diariodocentrodomundo/posts/1999846613561815,Ovo e hambúrguer combinam.,http://www.diariodocentrodomundo.com.br/essencial/huck-cancela-viagem-curitiba-medo-de-levar-ovada/,,Huck cancela viagem a Curitiba: medo de levar ovada?,"Do Blog do Esmael O candidato da Globo Luciano Huck “amarelou” já no primeiro compromisso, em Curitiba, após manifestar interesse pela Presidência da República. Ele cancelou visita nesta quinta-fei…",,,-1.4868035190615836
Contra o Golpe Fascista II,320510,2017-11-07 19:18:12 BRST,Link,45,5,24,1,0,37,1,0,0,,0,0,0,https://www.facebook.com/ContraFascista/posts/1786342268325734,Nome da Globo amarelou,https://www.brasil247.com/pt/247/parana247/326236/Por-medo-de-%E2%80%9Covada%E2%80%9D-Huck-cancela-visita-a-Curitiba.htm,,"Por medo de “ovada”, Huck cancela visita a Curitiba","Candidato da Globo Luciano Huck ""amarelou"" já no primeiro compromisso, em Curitiba, após manifestar interesse pela Presidência da República; ele cancelou visita nesta quinta-feira (9) para inauguração de uma hamburgueria da qual é sócio. O motivo? Medo de levar ""ovada"" durante evento que estava prev...",,,-1.6991150442477876
Coração Valente,171511,2017-11-07 19:12:47 BRST,Link,83,61,41,2,3,64,0,18,0,,0,0,0,https://www.facebook.com/dilmacoracaovalente/posts/801725340010116,Tucano Huck quer ser presidente,https://www.esmaelmorais.com.br/2017/11/por-de-medo-de-ovada-luciano-huck-cancela-visita-curitiba/,,"Por de medo de “ovada”, Luciano Huck cancela visita a Curitiba","O candidato da Globo Luciano Huck “amarelou” já no primeiro compromisso, em Curitiba, após manifestar interesse pela Presidência da República. Ele cancelou visita nesta quinta-feira (9) para inauguração de uma hamburgueria da qual é sócio. O motivo? Medo de levar … Continue lendo →",,,-1.4080882352941178
Click Política,7426,2017-11-07 19:10:08 BRST,Link,13,4,10,0,1,10,2,1,0,,0,0,0,https://www.facebook.com/paginaclickpolitica/posts/531160823885459,"PENSANDO QUE JÁ É PRESIDENTE! Num surto de megalomania, Luciano Huck fala em Barbosa e Alckmin como seus ministros; ENTENDA!",http://clickpolitica.com.br/brasil/pensando-que-ja-e-presidente-num-surto-de-megalomania-luciano-huck-fala-em-barbosa-e-alckmin-como-seus-ministros-entenda/,,"PENSANDO QUE JÁ É PRESIDENTE! Num surto de megalomania, Luciano Huck fala em Barbosa e Alckmin como seus ministros; ENTENDA!","A coluna de Mônica Bergamo informa que Luciano Huck e Joaquim Barbosa se encontraram recentemente no Rio para conversar sobre política. O convite partiu do apresentador da TV Globo, que pensa em se…",,,1.0789473684210527
Brasil 247,890879,2017-11-07 19:07:00 BRST,Link,331,96,201,2,4,299,0,12,0,,0,0,0,https://www.facebook.com/Brasil247/posts/1800738956645770,Nome da Globo amarelou,https://www.brasil247.com/pt/247/parana247/326236/Por-medo-de-%E2%80%9Covada%E2%80%9D-Huck-cancela-visita-a-Curitiba.htm,,"Por medo de “ovada”, Huck cancela visita a Curitiba","Candidato da Globo Luciano Huck ""amarelou"" já no primeiro compromisso, em Curitiba, após manifestar interesse pela Presidência da República; ele cancelou visita nesta quinta-feira (9) para inauguração de uma hamburgueria da qual é sócio. O motivo? Medo de levar ""ovada"" durante evento que estava prev...",,,1.6377816291161178
O Antagonista,786391,2017-11-07 19:03:56 BRST,Link,345,215,53,3,17,141,9,127,0,,0,0,0,https://www.facebook.com/oantagonista/posts/805726936284883,"Em entrevista exclusiva a O Antagonista, o presidente do PPS disse que Luciano Huck e lideranças do Agora! o procuraram para demonstrar interesse em uma possível candidatura de Huck ao Planalto pela legenda.",https://www.oantagonista.com/brasil/video-huck-tem-tapete-vermelho-no-pps-diz-o-presidente-partido/,,"Vídeo: ""Huck tem tapete vermelho no PPS"", diz Roberto Freire",,,,-1.332967032967033
Família Noticia,177020,2017-11-07 19:00:01 BRST,Link,12,27,12,0,0,9,2,6,0,,0,0,0,https://www.facebook.com/familianoticia/posts/1815519178745675,https://saudevidaefamilia.com/luciano-huck-diz-que-ira-acabar-com-lula-e-sera-novo-presidente-do-brasil/,https://saudevidaefamilia.com/luciano-huck-diz-que-ira-acabar-com-lula-e-sera-novo-presidente-do-brasil/,,(URGENTE) Luciano Huck diz que irá acabar com Lula e será novo Presidente do Brasil!,(URGENTE) Luciano Huck diz que irá acabar com Lula e será novo Presidente do Brasil!,,,1.6585365853658536
O Antagonista,786391,2017-11-07 18:39:23 BRST,Link,723,389,173,11,40,503,12,130,0,,0,0,0,https://www.facebook.com/oantagonista/posts/805713839619526,Integrantes do PT e do PC do B organizaram uma “ovada” contra Luciano Huck em Curitiba.,https://www.oantagonista.com/brasil/o-novo-alvo-das-ovadas-da-esquerda/,,Huck: O novo alvo das ovadas da esquerda,,,,1.6040485829959514
Luciano Ayan,103147,2017-11-07 18:22:28 BRST,Link,105,14,30,1,0,73,0,4,0,,0,0,0,https://www.facebook.com/ceticismopolitico/posts/1592061720854297,Deixar de ir em um evento por medo de ovada - principalmente sabendo que Bolsonaro e Doria já tomaram ovada e capitalizaram - não é algo que pega muito bem.,https://ceticismopolitico.com/2017/11/07/luciano-huck-ficou-com-medinho-de-ovada/,,Luciano Huck ficou com medinho de ovada?,"Integrantes do PT e do PCdoB organizaram uma “ovada” contra Luciano Huck em Curitiba. Porém, o site Anestesista (ou, melhor, Antagonista) disse que ele ia inaugurar o restaurante Jeroni…",,,-4.308370044052864
Ciro Gomes Presidente,260955,2017-11-07 18:00:01 BRST,Link,1723,40,642,4,88,210,11,60,0,,0,0,0,https://www.facebook.com/oCiroGomes/posts/2084585538436888,Cai mais um moralista da direita.,http://www.centralpolitico.com.br/2017/11/a-casa-caiu-os-negocios-de-huck-com-o.html,,"A CASA CAIU! Os negócios de Huck com o sócio Accioly, apontado como laranja de Aécio na Lava Jato",POR KIKO NOGUEIRA DO DCM - Uma das histórias de Luciano Huck que a mídia vai fazer o impossível para abafar é a de sua sociedade com o ...,,,2.4649511978704526
Esquerda Valente,116888,2017-11-07 18:00:00 BRST,Link,364,8,105,2,18,44,1,11,0,,0,0,0,https://www.facebook.com/esquerdasvalente/posts/2040503889505799,Cai mais um moralista da direita.,http://www.centralpolitico.com.br/2017/11/a-casa-caiu-os-negocios-de-huck-com-o.html,,"A CASA CAIU! Os negócios de Huck com o sócio Accioly, apontado como laranja de Aécio na Lava Jato",POR KIKO NOGUEIRA DO DCM - Uma das histórias de Luciano Huck que a mídia vai fazer o impossível para abafar é a de sua sociedade com o ...,,,2.040590405904059
Fiscop - Associação Brasileira de Fiscais de Conduta Política,190950,2017-11-07 17:59:22 BRST,Link,97,150,122,1,4,76,5,81,0,,0,0,0,https://www.facebook.com/fiscop/posts/1911801209136236,"Vai vendo, o sonho da Globo é uma socialista inútil ao lado do seu garoto Luciano.",http://veja.abril.com.br/blog/radar/luciano-huck-sonha-com-marina-silva-para-ser-sua-vice/,,Luciano Huck sonha com Marina Silva para ser sua vice | Radar | VEJA.com,A vice dos sonhos,,,-2.083955223880597
Pragmatismo Político,1149801,2017-11-07 17:59:04 BRST,Link,1633,53,900,6,54,125,9,208,0,,0,0,0,https://www.facebook.com/PragmatismoPolitico/posts/1678357262196007,"Uma das histórias de Luciano Huck que a mídia vai fazer o impossível para abafar é a de sua parceria com o empresário carioca Alexandre Accioly, tido como laranja de Aécio Neves:",https://www.pragmatismopolitico.com.br/2017/11/luciano-huck-laranja-de-aecio-midia-abafar.html,,A história de Luciano Huck com o laranja de Aécio que a mídia vai abafar,"Histórias d Huck que a mídia vai fazer o impossível para abafar é a de sua sociedade com o empresário Alexandre Accioly, tido como laranja de Aécio Neves",,,2.0764419735927726
Portal Bem Paraná,26780,2017-11-07 17:44:28 BRST,Link,0,1,2,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/bemparana/posts/1527190144039859,"Cotado para candidato a presidente, apresentador viria a Curitiba na quinta #bemparana",http://www.bemparana.com.br/noticia/536073/apos-ameaca-de-ovada-luciano-huck-cancela-visita-a-curitiba#.WgIM8fVQCo8.facebook,,"Após ameaça de ‘ovada”, Luciano Huck cancela visita a Curitiba - Bem Paraná","O apresentador de TV, Luciano Huck – que vem sendo apontado como possível candidato à presidência da República nas eleições de 2018 – cancelou hoje uma visita que faria a Curitiba na próxima...",,,-8.333333333333334
Reinaldo Azevedo,315545,2017-11-07 17:43:35 BRST,Photo,503,190,86,1,7,59,5,50,0,,0,0,0,https://www.facebook.com/ReinaldoAzevedoColunista/posts/10155884225824839,Luciano Huck é uma atualização do Salvador da Pátria. E o resultado poderia ser igualmente trágico: http://www3.redetv.uol.com.br/blog/reinaldo/post/luciano-e-uma-atualizacao-do-salvador-da-patria-e-o-resultado-poderia-ser-igualmente-tragico/,https://www.facebook.com/ReinaldoAzevedoColunista/photos/a.10151193200594839.476325.102285684838/10155884224089839/?type=3,,,,,,2.2810126582278483
RedeTV!,2987126,2017-11-07 17:43:08 BRST,Link,122,25,2,1,1,15,0,1,0,,0,0,0,https://www.facebook.com/REDETV/posts/1661119300622755,Leia a opinião de Reinaldo Azevedo sobre uma possível candidatura do apresentador Luciano Huck à Presidência da República! *veja as principais notícias do dia em redetv.com,http://www3.redetv.uol.com.br/blog/reinaldo/post/luciano-e-uma-atualizacao-do-salvador-da-patria-e-o-resultado-poderia-ser-igualmente-tragico/?cmpid=fb-redetv,,Luciano Huck é uma atualização do Salvador da Pátria. E o resultado poderia ser igualmente trágico,,,,-3.2395209580838324
Reinaldo Bessa - Gazeta do Povo,3732,2017-11-07 17:41:35 BRST,Link,11,0,2,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/bessagazeta/posts/1306247369520460,O almoço de lançamento estava marcado no Shopping Estação. http://bit.ly/2yFoEjP:=:http://www.gazetadopovo.com.br/reinaldo-bessa/curiosidades/luciano-huck-cancela-vinda-curitiba-para-inaugurar-restaurante-jeronimo-do-qual-e-socio/?utm_source=facebook&utm_medium=midia-social&utm_campaign=blog-bessa,http://bit.ly/2yFoEjP,http://www.gazetadopovo.com.br/reinaldo-bessa/curiosidades/luciano-huck-cancela-vinda-curitiba-para-inaugurar-restaurante-jeronimo-do-qual-e-socio/?utm_source=facebook&utm_medium=midia-social&utm_campaign=blog-bessa,Luciano Huck cancela vinda a Curitiba para inaugurar restaurante Jeronimo,,,,-0.13333333333333333
