Name,Size at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Thankful,Video Share Status,Post Views,Total Views,Total Views for all Crossposts,URL,Message,Link,Final Link,Link Text,Description,Sponsor Id,Sponsor Name,Score
GaúchaZH,2584697,2017-11-06 10:05:41 BRST,Live Video Complete,154,167,8,18,1,4,0,0,0,original,13402,16905,0,https://www.facebook.com/gauchazh/posts/10151067500249956,Timeline Gaúcha chega para repercutir as últimas notícias 😉 👉 Manuela D'Ávila é escolhida pré-candidata à Presidência da República pelo PC do B http://bit.ly/2j48fOK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/manuela-d-avila-e-escolhida-pre-candidata-a-presidencia-da-republica-pelo-pc-do-b-cj9mydq9802xt01pg6gch5zjt.html 👉 Reforma trabalhista: entenda as 10 principais mudanças http://bit.ly/2Abf04I:=:https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/reforma-trabalhista-entenda-as-10-principais-mudancas-cj9hes4u10dme01qn0bzyghrk.html 👉 Atirador abre fogo em igreja no Texas e deixa 26 mortos http://bit.ly/2AaKHLf:=:https://gauchazh.clicrbs.com.br/mundo/noticia/2017/11/atirador-abre-fogo-em-igreja-no-texas-e-deixa-pelo-menos-27-mortos-cj9n6vbxp0he901lc65nqnbus.html #Timeline #TimelineGaúcha,https://www.facebook.com/gauchazh/videos/10151067500249956/,,Timeline | 06/11/2017,,,,-1.1477272727272727
Portal Banda B,764067,2017-11-06 10:05:00 BRST,Link,151,95,8,5,1,126,2,14,0,,0,0,0,https://www.facebook.com/PortalBandaB/posts/1740732419331548,,http://www.bandab.com.br/politica/indecisao-sobre-lula-faz-pcdob-lancar-manuela-cavila-como-candidata/,,Indecisão sobre Lula faz PCdoB lançar Manuela D'Ávila como candidata, ,,,-1.4054726368159205
Folha Política,1780598,2017-11-06 09:40:58 BRST,Link,61,45,122,0,1,19,1,15,0,,0,0,0,https://www.facebook.com/FolhaPolitica/posts/884730955020874,"Segundo ela, a decisão de lançar D'Ávila foi tomada diante da instabilidade política do País, “sem comprometer a aliança política que possa haver com o PT lá na frente”.",http://www.politicanarede.com/2017/11/nao-ha-um-partido-mais-defensor-do-pt.html,,"'Não há um partido mais defensor do PT do que o PC do B', admite presidente do partido","Imagem: Reprodução / Redes Sociais O PC do B lançou neste domingo, 5, a pré-candidatura da deputada estadual gaúcha Manuela D'Ávila à P...",,,-7.2727272727272725
Delegado Francischini,1122594,2017-11-06 09:22:23 BRST,Link,849,160,439,9,16,476,5,69,0,,0,0,0,https://www.facebook.com/FernandoFrancischiniBR/posts/1345501712220438,"A famosa deputada comunista (""Avião"" na lista de Fachin), foi escolhida pelo PcdoB para disputar as eleições pela sigla e deixou Lula na mão. kkkkk",http://fernandofrancischini.com.br/crise-na-esquerda-pc-do-b-abandona-lula-e-lanca-deputada-citada-na-lava-jato-a-presidencia-em-2018/,,Crise na Esquerda: PC do B abandona Lula e lança deputada citada na Lava Jato à Presidência em 2018,"O PC do B lançou a pré-candidatura da deputada estadual gaúcha Manuela D'Ávila à Presidência da República em 2018. É a primeira vez desde a redemocratização que o partido lança um nome na disputa pelo Palácio do Planalto. O PT de Lula não ficou feliz com a novidade, pois esperava ter o apoio do part...",,,1.5841816758026626
O que a mídia não mostra,200623,2017-11-06 09:13:21 BRST,Link,99,26,19,6,3,8,0,0,0,,0,0,0,https://www.facebook.com/jaqueamidianaomostra/posts/1619147881509289,,https://www.revistaforum.com.br/2017/11/05/pcdob-lanca-manuela-davila-como-pre-candidata-presidencia-em-2018/,,PCdoB lança Manuela d'Ávila como pré-candidata à presidência em 2018 - Portal Fórum,"Anúncio da candidatura da deputada estadual gaúcha foi feito neste domingo (5) pela presidenta do PCdoB, Luciana Santos Por Redação* Mulher, feminista e de esquerda, a deputada estadual Manuela d’Ávila será candidata à presidência da República pelo Partido Comunista do Brasil (PCdoB). O anúncio foi…",,,-2.1739130434782608
Tarobá Cascavel,121833,2017-11-06 09:02:46 BRST,Link,5,1,0,0,0,0,0,0,0,,0,0,0,https://www.facebook.com/tvtarobacascavel/posts/1593099130729130,,https://tarobanews.com/noticias/politica/indecisao-sobre-lula-faz-pcdob-ter-candidata-Gmoxl.html,,Indecisão sobre Lula faz PCdoB ter candidata - Taroba News,O PCdoB lançou ontem a pré-candidatura da deputada estadual gaúcha Manuela DÁvila à Presidência da República. É a primeira vez desde a redemocratizaç&atild... Leia mais no Taroba News!,,,-12.5
Gaúcha Atualidade,7461,2017-11-06 08:10:04 BRST,Native Video,4,0,0,0,0,0,0,0,0,share,249,17686,0,https://www.facebook.com/gauchaatualidade/posts/486014738434262,Gaúcha Atualidade chega com muita informação para você 😉 👉 Manuela D'Ávila é escolhida pré-candidata à Presidência da República pelo PC do B http://bit.ly/2j48fOK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/manuela-d-avila-e-escolhida-pre-candidata-a-presidencia-da-republica-pelo-pc-do-b-cj9mydq9802xt01pg6gch5zjt.html 👉 Reforma trabalhista: entenda as 10 principais mudanças http://bit.ly/2Abf04I:=:https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/reforma-trabalhista-entenda-as-10-principais-mudancas-cj9hes4u10dme01qn0bzyghrk.html 👉 Rosane de Oliveira: PT e PMDB deixam a coerência de lado http://bit.ly/2hJpgdK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/pt-e-pmdb-deixam-a-coerencia-de-lado-cj9nbf9ds05qx01ogmdig392v.html 👉 Carolina Bahia: Eduardo Cunha e Lúcio Funaro travam duelo de versões...,https://www.facebook.com/gauchazh/videos/10151067453949956/,,GaúchaZH,"Gaúcha Atualidade chega com muita informação para você 😉

👉 Manuela D'Ávila é escolhida pré-candidata à Presidência da República pelo PC do B http://bit.ly/2j48fOK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/manuela-d-avila-e-escolhida-pre-candidata-a-presidencia-da-republica-pelo-pc-do-b-cj9mydq9802xt01pg6gch5zjt.html

👉 Reforma trabalhista: entenda as 10 principais mudanças http://bit.ly/2Abf04I:=:https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/reforma-trabalhista-entenda-as-10-principais-mudancas-cj9hes4u10dme01qn0bzyghrk.html

👉 Rosane de Oliveira: PT e PMDB deixam a coerência de lado http://bit.ly/2hJpgdK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/pt-e-pmdb-deixam-a-coerencia-de-lado-cj9nbf9ds05qx01ogmdig392v.html

👉 Carolina Bahia: Eduardo Cunha e Lúcio Funaro travam duelo de versões...",,,-8.0
clicRBS,534933,2017-11-06 08:09:39 BRST,Native Video,31,4,0,0,0,0,0,0,0,share,3319,17695,0,https://www.facebook.com/clicRBS/posts/10154813248856784,Gaúcha Atualidade chega com muita informação para você 😉 👉 Manuela D'Ávila é escolhida pré-candidata à Presidência da República pelo PC do B http://bit.ly/2j48fOK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/manuela-d-avila-e-escolhida-pre-candidata-a-presidencia-da-republica-pelo-pc-do-b-cj9mydq9802xt01pg6gch5zjt.html 👉 Reforma trabalhista: entenda as 10 principais mudanças http://bit.ly/2Abf04I:=:https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/reforma-trabalhista-entenda-as-10-principais-mudancas-cj9hes4u10dme01qn0bzyghrk.html 👉 Rosane de Oliveira: PT e PMDB deixam a coerência de lado http://bit.ly/2hJpgdK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/pt-e-pmdb-deixam-a-coerencia-de-lado-cj9nbf9ds05qx01ogmdig392v.html 👉 Carolina Bahia: Eduardo Cunha e Lúcio Funaro travam duelo de versões...,https://www.facebook.com/gauchazh/videos/10151067453949956/,,GaúchaZH,"Gaúcha Atualidade chega com muita informação para você 😉

👉 Manuela D'Ávila é escolhida pré-candidata à Presidência da República pelo PC do B http://bit.ly/2j48fOK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/manuela-d-avila-e-escolhida-pre-candidata-a-presidencia-da-republica-pelo-pc-do-b-cj9mydq9802xt01pg6gch5zjt.html

👉 Reforma trabalhista: entenda as 10 principais mudanças http://bit.ly/2Abf04I:=:https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/reforma-trabalhista-entenda-as-10-principais-mudancas-cj9hes4u10dme01qn0bzyghrk.html

👉 Rosane de Oliveira: PT e PMDB deixam a coerência de lado http://bit.ly/2hJpgdK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/pt-e-pmdb-deixam-a-coerencia-de-lado-cj9nbf9ds05qx01ogmdig392v.html

👉 Carolina Bahia: Eduardo Cunha e Lúcio Funaro travam duelo de versões...",,,1.3461538461538463
GaúchaZH,2584697,2017-11-06 08:09:10 BRST,Live Video Complete,168,92,19,12,1,4,0,1,0,original,13962,17687,0,https://www.facebook.com/gauchazh/posts/10151067453949956,Gaúcha Atualidade chega com muita informação para você 😉 👉 Manuela D'Ávila é escolhida pré-candidata à Presidência da República pelo PC do B http://bit.ly/2j48fOK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/manuela-d-avila-e-escolhida-pre-candidata-a-presidencia-da-republica-pelo-pc-do-b-cj9mydq9802xt01pg6gch5zjt.html 👉 Reforma trabalhista: entenda as 10 principais mudanças http://bit.ly/2Abf04I:=:https://gauchazh.clicrbs.com.br/politica/noticia/2017/11/reforma-trabalhista-entenda-as-10-principais-mudancas-cj9hes4u10dme01qn0bzyghrk.html 👉 Rosane de Oliveira: PT e PMDB deixam a coerência de lado http://bit.ly/2hJpgdK:=:https://gauchazh.clicrbs.com.br/colunistas/rosane-de-oliveira/noticia/2017/11/pt-e-pmdb-deixam-a-coerencia-de-lado-cj9nbf9ds05qx01ogmdig392v.html 👉 Carolina Bahia: Eduardo Cunha e Lúcio Funaro travam duelo de versões...,https://www.facebook.com/gauchazh/videos/10151067453949956/,,Gaúcha Atualidade | 06/11/2017,,,,-1.3602693602693603
Blog do Noblat - O Globo,112606,2017-11-06 08:03:00 BRST,Photo,16,15,1,0,1,12,0,0,0,,0,0,0,https://www.facebook.com/BlogdoNoblatOGlobo/posts/1959367857411899,"Luciana estraga a festa de Manuela, por Ricardo Noblat A deputada Luciana Santos (PE) tirou partre do brilho da festa, ontem, de lançamento da pré-candidatura de sua colega gaúcha Manuela D'Ávila à Presidência da República pelo PC do B. (...) Leia a íntegra no blog: https://goo.gl/4xWgUQ:=:http://noblat.oglobo.globo.com/meus-textos/noticia/2017/11/luciana-estraga-festa-de-manuela.html Manuela D'Ávila (Foto: Reprodução)",https://www.facebook.com/BlogdoNoblatOGlobo/photos/a.512447805437252.131819.229188757096493/1959367770745241/?type=3,,,,,,-1.3111111111111111
